id	filename	md5	size	state
00ba49d6-fdc9-44c1-be48-74b9dde71c5c	00ba49d6-fdc9-44c1-be48-74b9dde71c5c/8dd3161b-a1d9-453c-afb8-293b20330f3d.FPKM.txt.gz	a4b451888b361891703d7ba945e57a16	515258	live
27557368-1284-46e2-afd4-1171df4e0c11	27557368-1284-46e2-afd4-1171df4e0c11/170b32d9-17b0-4bbe-85d8-89b5fc8b5bb1.FPKM.txt.gz	8461e5417b0a936494c0e3e28ad48a14	535577	live
31354e62-cfd2-4119-9626-8385a727c542	31354e62-cfd2-4119-9626-8385a727c542/b2a41a93-9530-49b8-964d-d58df94fef9f.FPKM.txt.gz	2ed28035171be84b43a609839977eed0	536859	live
3a21dead-a0d3-4f07-a93b-67ad3f3a8716	3a21dead-a0d3-4f07-a93b-67ad3f3a8716/9a75f764-8b45-4352-bdc0-c82f08990df2.FPKM.txt.gz	b25f2533bf896c3dd002dee14f9a4e34	537146	live
3a94c2b6-242c-4b9f-b6f3-1c82e6a26de6	3a94c2b6-242c-4b9f-b6f3-1c82e6a26de6/6821cf1e-ae8a-472d-8b55-92eca84abab5.FPKM.txt.gz	d4e75d52a58d31308a7c0a9083107c63	522872	live
4223756c-333c-4c9a-a8e6-9b4a016125a0	4223756c-333c-4c9a-a8e6-9b4a016125a0/461b0b1d-bf31-4e2a-b9c8-fad6703f973b.FPKM.txt.gz	932ae662f63cddc002c3c98d9c9f981b	509154	live
428baf9d-1632-40a6-ae37-97196473fc4f	428baf9d-1632-40a6-ae37-97196473fc4f/4bc9290d-823f-4c98-8cca-f683588cbd49.FPKM.txt.gz	7de9bcad917b5de6f338edfb01db51f3	537465	live
4832788c-4a5e-4bad-a1cd-03d206d7d021	4832788c-4a5e-4bad-a1cd-03d206d7d021/2493b2a8-fe7c-4a6d-8616-459ebc5aa4b6.FPKM.txt.gz	8b96ca0c0c41291bc234cbaffc576e7e	531860	live
5ce3f2e7-02bf-4389-8d19-118244c3667d	5ce3f2e7-02bf-4389-8d19-118244c3667d/2ec6297f-091b-4744-aaf7-83f86396192f.FPKM.txt.gz	0de85ad454efcce56d3284f18de48fd3	519176	live
5f1961e3-22ab-4d7a-93b3-eb8d49f9c313	5f1961e3-22ab-4d7a-93b3-eb8d49f9c313/39a335c9-018d-46c9-a966-bbec6d1f19cb.FPKM.txt.gz	1a4c42237e3ff841ae4628abe35c1b54	527358	live
